Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Capp, Clarissa; Wajner, Simone Magagnin; Siqueira, Debora Rodrigues; Brasil, Beatriz Assis; Meurer, Luise; Maia, Ana Luiza; ","Increased expression of vascular endothelial growth factor and its receptors, VEGFR-1 and VEGFR-2, in medullary thyroid carcinoma",Thyroid,20,8,863-871,2010,"Mary Ann Liebert, Inc. 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA"
"Harris, Rachel; Miners, James Scott; Allen, Shelley; Love, Seth; ",VEGFR1 and VEGFR2 in Alzheimer’s Disease,Journal of Alzheimer's Disease,61,2,741-752,2018,IOS Press
"Hiratsuka, Sachie; Nakao, Kazuki; Nakamura, Kenji; Katsuki, Motoya; Maru, Yoshiro; Shibuya, Masabumi; ",Membrane fixation of vascular endothelial growth factor receptor 1 ligand-binding domain is important for vasculogenesis and angiogenesis in mice,Molecular and cellular biology,25,1,346-354,2005,Taylor & Francis
"Rahimi, Nader; Dayanir, Volkan; Lashkari, Kameran; ",Receptor chimeras indicate that the vascular endothelial growth factor receptor-1 (VEGFR-1) modulates mitogenic activity of VEGFR-2 in endothelial cells,Journal of Biological Chemistry,275,22,16986-16992,2000,ASBMB
"Shibuya, Masabumi; ",Structure and dual function of vascular endothelial growth factor receptor-1 (Flt-1),The international journal of biochemistry & cell biology,33,4,409-420,2001,Elsevier
"Simons, Michael; Gordon, Emma; Claesson-Welsh, Lena; ",Mechanisms and regulation of endothelial VEGF receptor signalling,Nature reviews Molecular cell biology,17,10,611-625,2016,Nature Publishing Group UK London
"Shibuya, Masabumi; ",Differential roles of vascular endothelial growth factor receptor-1 and receptor-2 in angiogenesis,BMB Reports,39,5,469-478,2006,Citeseer
"Mittar, Shweta; Ulyatt, Clare; Howell, Gareth J; Bruns, Alexander F; Zachary, Ian; Walker, John H; Ponnambalam, Sreenivasan; ",VEGFR1 receptor tyrosine kinase localization to the Golgi apparatus is calcium-dependent,Experimental cell research,315,5,877-889,2009,Elsevier
"Peach, Chloe J; Mignone, Viviane W; Arruda, Maria Augusta; Alcobia, Diana C; Hill, Stephen J; Kilpatrick, Laura E; Woolard, Jeanette; ",Molecular pharmacology of VEGF-A isoforms: binding and signalling at VEGFR2,International journal of molecular sciences,19,4,1264,2018,MDPI
"Gabhann, Feilim Mac; Popel, Aleksander S; ","Interactions of VEGF isoforms with VEGFR-1, VEGFR-2, and neuropilin in vivo: a computational model of human skeletal muscle",American Journal of Physiology-Heart and Circulatory Physiology,292,1,H459-H474,2007,American Physiological Society
"Leppänen, Veli-Matti; Prota, Andrea E; Jeltsch, Michael; Anisimov, Andrey; Kalkkinen, Nisse; Strandin, Tomas; Lankinen, Hilkka; Goldman, Adrian; Ballmer-Hofer, Kurt; Alitalo, Kari; ",Structural determinants of growth factor binding and specificity by VEGF receptor 2,Proceedings of the National Academy of Sciences,107,6,2425-2430,2010,National Acad Sciences
"Sarabipour, Sarvenaz; Mac Gabhann, Feilim; ",VEGF-A121a binding to Neuropilins–A concept revisited,Cell Adhesion & Migration,12,3,204-214,2018,Taylor & Francis
"Shibuya, Masaubmi; ",Vascular endothelial growth factor receptor-1 (VEGFR-1/Flt-1): a dual regulator for angiogenesis,Angiogenesis,9,4,225-230,2006,Springer
"Brozzo, Maurice S; Bjelić, Saša; Kisko, Kaisa; Schleier, Thomas; Leppänen, Veli-Matti; Alitalo, Kari; Winkler, Fritz K; Ballmer-Hofer, Kurt; ",Thermodynamic and structural description of allosterically regulated VEGFR-2 dimerization,"Blood, The Journal of the American Society of Hematology",119,7,1781-1788,2012,"American Society of Hematology Washington, DC"
"Gille, Hendrik; Kowalski, Joe; Li, Bing; LeCouter, Jennifer; Moffat, Barbara; Zioncheck, Thomas F; Pelletier, Nicolas; Ferrara, Napoleone; ",Analysis of biological effects and signaling properties of Flt-1 (VEGFR-1) and KDR (VEGFR-2): a reassessment using novel receptor-specific vascular endothelial growth factor mutants,Journal of Biological Chemistry,276,5,3222-3230,2001,ASBMB
"Teran, Madelane; Nugent, Matthew A; ",Synergistic binding of vascular endothelial growth factor-A and its receptors to heparin selectively modulates complex affinity,Journal of Biological Chemistry,290,26,16451-16462,2015,ASBMB
"Lake, Andrew C; Vassy, Roger; Di Benedetto, Melanie; Lavigne, Damien; Le Visage, Catherine; Perret, Gérard Y; Letourneur, Didier; ",Low molecular weight fucoidan increases VEGF165-induced endothelial cell migration by enhancing VEGF165 binding to VEGFR-2 and NRP1,Journal of Biological Chemistry,281,49,37844-37852,2006,ASBMB
"Mamer, Spencer B; Wittenkeller, Ashley; Imoukhuede, PI; ",VEGF-A splice variants bind VEGFRs with differential affinities,Scientific reports,10,1,14413,2020,Nature Publishing Group UK London
"Cai, Weibo; Chen, Kai; Mohamedali, Khalid A; Cao, Qizhen; Gambhir, Sanjiv S; Rosenblum, Michael G; Chen, Xiaoyuan; ",PET of vascular endothelial growth factor receptor expression,Journal of Nuclear Medicine,47,12,2048-2056,2006,Soc Nuclear Med
"Meyer, Marlene; Clauss, Matthias; Lepple-Wienhues, Albrecht; Waltenberger, Johannes; Augustin, Hellmut G; Ziche, Marina; Lanz, Christa; Büttner, Mathias; Rziha, Hanns-Joachim; Dehio, Christoph; ","A novel vascular endothelial growth factor encoded by Orf virus, VEGF-E, mediates angiogenesis via signalling through VEGFR-2 (KDR) but not VEGFR-1 (Flt-1) receptor tyrosine kinases",The EMBO journal,18,2,363-374,1999,"John Wiley & Sons, Ltd"
"Papadopoulos, Nicholas; Martin, Joel; Ruan, Qin; Rafique, Ashique; Rosconi, Michael P; Shi, Ergang; Pyles, Erica A; Yancopoulos, George D; Stahl, Neil; Wiegand, Stanley J; ","Binding and neutralization of vascular endothelial growth factor (VEGF) and related ligands by VEGF Trap, ranibizumab and bevacizumab",Angiogenesis,15,,171-185,2012,Springer
"Kühn, Clemens; Checa, Sara; ","Computational modeling to quantify the contributions of VEGFR1, VEGFR2, and lateral inhibition in sprouting angiogenesis",Frontiers in physiology,10,,288,2019,Frontiers Media SA
"Mac Gabhann, Feilim; Popel, Aleksander S; ",Model of competitive binding of vascular endothelial growth factor and placental growth factor to VEGF receptors on endothelial cells,American Journal of Physiology-Heart and Circulatory Physiology,286,1,H153-H164,2004,American Physiological Society
"Shibuya, Masabumi; ",Vascular endothelial growth factor and its receptor system: physiological functions in angiogenesis and pathological roles in various diseases,The Journal of Biochemistry,153,1,13-19,2013,Oxford University Press
"Kim, Ivana; Ryan, Anne M; Rohan, Richard; Amano, Shiro; Agular, Stephanie; Miller, Joan W; Adamis, Anthony P; ","Constitutive expression of VEGF, VEGFR-1, and VEGFR-2 in normal eyes",Investigative ophthalmology & visual science,40,9,2115-2121,1999,The Association for Research in Vision and Ophthalmology
"Roberts, David M; Kearney, Joseph B; Johnson, Jennifer H; Rosenberg, Michael P; Kumar, Rakesh; Bautch, Victoria L; ",The vascular endothelial growth factor (VEGF) receptor Flt-1 (VEGFR-1) modulates Flk-1 (VEGFR-2) signaling during blood vessel formation,The American journal of pathology,164,5,1531-1535,2004,Elsevier
"Lu, Dan; Jimenez, Xenia; Zhang, Haifan; Bohlen, Peter; Witte, Larry; Zhu, Zhenping; ",Selection of high affinity human neutralizing antibodies to VEGFR2 from a large antibody phage display library for antiangiogenesis therapy,International journal of cancer,97,3,393-399,2002,Wiley Online Library
"Saeed, Mohamed EM; Kadioglu, Onat; Seo, Ean-Jeong; Greten, Henry Johannes; Brenk, Ruth; Efferth, Thomas; ",Quantitative Structure–Activity Relationship and Molecular Docking of Artemisinin Derivatives to Vascular Endothelial Growth Factor Receptor 1,Anticancer research,35,4,1929-1934,2015,International Institute of Anticancer Research
"Vicari, Daniele; Foy, Kevin C; Liotta, Eric M; Kaumaya, Pravin TP; ",Engineered conformation-dependent VEGF peptide mimics are effective in inhibiting VEGF signaling pathways,Journal of Biological Chemistry,286,15,13612-13625,2011,ASBMB
"Murschel, Frederic; Liberelle, Benoit; St-Laurent, Gilles; Jolicoeur, Mario; Durocher, Yves; De Crescenzo, Gregory; ",Coiled-coil-mediated grafting of bioactive vascular endothelial growth factor,Acta biomaterialia,9,6,6806-6813,2013,Elsevier
"Geva, Eli; Jaffe, Robert B; ",Role of vascular endothelial growth factor in ovarian physiology and pathology,Fertility and sterility,74,3,429-438,2000,Elsevier
"Hillman, NJ; Whittles, CE; Pocock, TM; Williams, B; Bates, David O; ",Differential effects of vascular endothelial growth factor-C and placental growth factor-1 on the hydraulic conductivity of frog mesenteric capillaries,Journal of vascular research,38,2,176-186,2001,S. Karger AG
"Schlaeppi, Jean-Marc; Wood, Jeanette M; ","Targeting vascular endothelial growth factor (VEGF) for anti-tumor therapy, by anti-VEGF neutralizing monoclonal antibodies or by VEGF receptor tyrosine-kinase inhibitors",Cancer and Metastasis Reviews,18,,473-481,1999,Springer
"Liu, Wenbiao; Ellis, Lee M; ",Regulation of vascular endothelial growth factor receptor KDR in vitro by a soluble factor in confluent endothelial cells,Pathobiology,66,5,247-252,1998,"S. Karger AG Basel, Switzerland"
"Veeravagu, Anand; Hsu, Andrew R; Cai, Weibo; Hou, Lewis C; Tse, Victor CK; Chen, Xiaoyuan; ",Vascular endothelial growth factor and vascular endothelial growth factor receptor inhibitors as anti-angiogenic agents in cancer therapy,Recent patents on anti-cancer drug discovery,2,1,59-71,2007,Bentham Science Publishers
"Plate, Karl H; Beck, Heike; Danner, Simone; Allegrini, Peter R; Wiessner, Christoph; ",Cell type specific upregulation of vascular endothelial growth factor in an MCA-occlusion model of cerebral infarct,Journal of neuropathology and experimental neurology,58,6,654-666,1999,"American Association of Neuropathologists, Inc."
"Aoki, Yoshiyasu; Tosato, Giovanna; ",Vascular endothelial growth factor/vascular permeability factor in the pathogenesis of primary effusion lymphomas,Leukemia & Lymphoma,41,3-4,229-237,2001,Taylor & Francis
"Plate, KH; Breier, G; Millauer, Bet al; Ullrich, A; Risau, W; ",Up-regulation of vascular endothelial growth factor and its cognate receptors in a rat glioma model of tumor angiogenesis,Cancer research,53,23,5822-5827,1993,AACR
"Qi, Jian Hua; Ebrahem, Quteba; Moore, Nina; Murphy, Gillian; Claesson-Welsh, Lena; Bond, Mark; Baker, Andrew; Anand-Apte, Bela; ",A novel function for tissue inhibitor of metalloproteinases-3 (TIMP3): inhibition of angiogenesis by blockage of VEGF binding to VEGF receptor-2,Nature medicine,9,4,407-415,2003,Nature Publishing Group US New York
"Dunk, Caroline; Ahmed, Asif; ",Growth factor regulators of placental angiogenesis,Intrauterine Growth Restriction: Aetiology and Management,,,149-162,2000,Springer
"Ferrara, Napoleone; ",Vascular endothelial growth factor as a target for anticancer therapy,The oncologist,9,S1,2-10,2004,Oxford University Press
"Igarashi, KATSUHIDE; Isohara, TOSHIO; Kato, TOSHIAKI; Takigawa, KENJI; Shigeta, KEIKO; Yamano, TOMOKA; Uno, ISAO; ","8-(3-oxo-4, 5, 6-trihydroxy-3h-xanthen-9-yl)-1-naphthoic acid inhibits MAPK phosphorylation in endothelial cells induced by VEGF and bFGF.",International Journal of Molecular Medicine,2,2,211-426,1998,Spandidos Publications
"Kowalczyk, Anna E; Kaczmarek, Monika M; Schams, Dieter; Ziecik, Adam J; ",Effect of prostaglandin E2 and tumor necrosis factor α on the VEGF‐Receptor system expression in cultured porcine luteal cells,Molecular Reproduction and Development: Incorporating Gamete Research,75,10,1558-1566,2008,Wiley Online Library
"Lee, Joon-Hwa; Canny, Marella D; De Erkenez, Andrea; Krilleke, Dominik; Ng, Yin-Shan; Shima, David T; Pardi, Arthur; Jucker, Fiona; ",A therapeutic aptamer inhibits angiogenesis by specifically targeting the heparin binding domain of VEGF165,Proceedings of the National Academy of Sciences,102,52,18902-18907,2005,National Acad Sciences
"Berard, Madeleine; Sordello, Sylvie; Ortega, Nathalie; Carrier, Jean-Luc; Peyri, Nicole; Wassef, Michel; Bertrand, Nicolas; Enjolras, Odile; Drouet, Ludovic; Plouet, Jean; ",Vascular endothelial growth factor confers a growth advantage in vitro and in vivo to stromal cells cultured from neonatal hemangiomas.,The American journal of pathology,150,4,1315,1997,American Society for Investigative Pathology
"Ferrara, Napoleone; ",The role of VEGF in the regulation of physiological and pathological angiogenesis,Mechanisms of angiogenesis,,,209-231,2005,Springer
"Ferrara, Napoleone; Hillan, Kenneth J; Gerber, Hans-Peter; Novotny, William; ","Discovery and development of bevacizumab, an anti-VEGF antibody for treating cancer",Nature reviews Drug discovery,3,5,391-400,2004,Nature Publishing Group UK London
"Cudic, Mare; Bionda, Nina; Giulianotti, Marc; Maida, Laura; Houghten, Richard A; Fields, Gregg B; Minond, Dmitriy; ",TNFα-Based Peptides as Bioprobes for Exosites of ADAM Proteases,Peptides Across The Pacific,,,136,,
"Slevin, Mark; Kumar, Patricia; Wang, Quiyu; Kumar, Shant; Gaffney, John; Grau-Olivares, Marta; Krupinski, Jerzy; ",New VEGF antagonists as possible therapeutic agents in vascular disease,Expert opinion on investigational drugs,17,9,1301-1314,2008,Taylor & Francis
"E Wang, R; Wu, H; Niu, Y; Cai, J; ",Improving the stability of aptamers by chemical modification,Current medicinal chemistry,18,27,4126-4138,2011,Bentham Science Publishers
"Shrivastava, A; Nunn, AD; Tweedle, MF; ",Designer peptides: learning from nature,Current pharmaceutical design,15,6,675-681,2009,Bentham Science Publishers
"Bower, Kristen E; Lam, Son N; Oates, Bryan D; Del Rosario, Joselyn R; Corner, Emily; Osothprarop, Trina F; Kinhikar, Arvind G; Hoye, Julie A; Preston, R Ryan; Murphy, Robert E; ",Evolution of potent and stable placental-growth-factor-1-targeting CovX-bodies from phage display peptide discovery,Journal of medicinal chemistry,54,5,1256-1265,2011,ACS Publications
"Ahmadpour, Sajjad; Khodadust, Fatemeh; Hormati, Ahmad; Eivaziatashbeik, Karim; ",Pivotal role of peptides in gastric carcinoma: diagnosis and therapy,International Journal of Peptide Research and Therapeutics,27,,503-525,2021,Springer
"He, Xuemin; Cheng, Rui; Benyajati, Siribhinya; Ma, Jian-xing; ",PEDF and its roles in physiological and pathological conditions: implication in diabetic and hypoxia-induced angiogenic diseases,Clinical science,128,11,805-823,2015,Portland Press Ltd.
"Tweedle, Michael F; ","Adventures in multivalency, the Harry S. Fischer memorial lecture CMR 2005; Evian, France",Contrast media & molecular imaging,1,1,2-9,2006,Wiley Online Library
"Chiodelli, P; Rezzola, S; Urbinati, C; Federici Signori, F; Monti, E; Ronca, R; Presta, M; Rusnati, M; ",Contribution of vascular endothelial growth factor receptor-2 sialylation to the process of angiogenesis,Oncogene,36,47,6531-6541,2017,Nature Publishing Group
"Yu, Yanlan; Lee, Pierre; Ke, Yaohuang; Zhang, Yongke; Chen, Jungang; Dai, Jihong; Li, Mingzhen; Zhu, Weimin; Yu, Guo-Liang; ",Development of humanized rabbit monoclonal antibodies against vascular endothelial growth factor receptor 2 with potential antitumor effects,Biochemical and Biophysical Research Communications,436,3,543-550,2013,Elsevier
"Belair, David G; Le, Ngoc Nhi; Murphy, William L; ",Design of growth factor sequestering biomaterials,Chemical Communications,50,99,15651-15668,2014,Royal Society of Chemistry
"Affinity, Modulates Complex; Teran, Madelane; Nugent, Matthew A; ",VEGF interaction with receptors is regulated by heparan sulfate,,,,,2015,
"Chen, Tom T; Luque, Alfonso; Lee, Sunyoung; Anderson, Sean M; Segura, Tatiana; Iruela-Arispe, M Luisa; ",Anchorage of VEGF to the extracellular matrix conveys differential signaling responses to endothelial cells,Journal of cell biology,188,4,595-609,2010,The Rockefeller University Press
"Pieren, Michel; Prota, Andrea E; Ruch, Claudia; Kostrewa, Dirk; Wagner, Armin; Biedermann, Katrin; Winkler, Fritz K; Ballmer-Hofer, Kurt; ",Crystal structure of the Orf virus NZ2 variant of vascular endothelial growth factor-E: implications for receptor specificity,Journal of Biological Chemistry,281,28,19578-19587,2006,ASBMB
"Behdani, Mahdi; Zeinali, Sirous; Khanahmad, Hossein; Karimipour, Morteza; Asadzadeh, Nader; Azadmanesh, Keyhan; Khabiri, Alireza; Schoonooghe, Steve; Anbouhi, Mahdi Habibi; Hassanzadeh-Ghassabeh, Gholamreza; ",Generation and characterization of a functional Nanobody against the vascular endothelial growth factor receptor-2; angiogenesis cell receptor,Molecular immunology,50,1-2,35-41,2012,Elsevier
"Hopf, Michael; Göhring, Walter; Mann, Karlheinz; Timpl, Rupert; ","Mapping of binding sites for nidogens, fibulin-2, fibronectin and heparin to different IG modules of perlecan",Journal of molecular biology,311,3,529-541,2001,Elsevier
"Lin, Zhihua; Cao, Peng; Lei, Huanzong; ",Identification of a neutralizing scFv binding to human vascular endothelial growth factor 165 (VEGF165) using a phage display antibody library,Applied biochemistry and biotechnology,144,,15-26,2008,Springer
"Delcombel, Romain; Janssen, Lauriane; Vassy, Roger; Gammons, Melissa; Haddad, Oualid; Richard, Benjamin; Letourneur, Didier; Bates, David; Hendricks, Céline; Waltenberger, Johannes; ","New prospects in the roles of the C-terminal domains of VEGF-A and their cooperation for ligand binding, cellular signaling and vessels formation",Angiogenesis,16,,353-371,2013,Springer
"Hua, Jing; Spee, Christine; Kase, Satoru; Rennel, Emma S; Magnussen, Anette L; Qiu, Yan; Varey, Alex; Dhayade, Sandeep; Churchill, Amanda J; Harper, Steven J; ",Recombinant human VEGF165b inhibits experimental choroidal neovascularization,Investigative ophthalmology & visual science,51,8,4282-4288,2010,The Association for Research in Vision and Ophthalmology
"Peterson, Kimberly J; Sadowsky, Jack D; Scheef, Elizabeth A; Pal, Soumen; Kourentzi, Katerina D; Willson, Richard C; Bresnick, Emery H; Sheibani, Nader; Gellman, Samuel H; ",A fluorescence polarization assay for identifying ligands that bind to vascular endothelial growth factor,Analytical biochemistry,378,1,8-14,2008,Elsevier
"Di Benedetto, Mélanie; Starzec, Anna; Vassy, Roger; Perret, Gérard-Yves; Crépin, Michel; ",Distinct heparin binding sites on VEGF165 and its receptors revealed by their interaction with a non sulfated glycoaminoglycan (NaPaC),Biochimica et Biophysica Acta (BBA)-General Subjects,1780,4,723-732,2008,Elsevier
"Peysselon, Franck; Ricard-Blum, Sylvie; ",Heparin–protein interactions: from affinity and kinetics to biological roles. Application to an interaction network regulating angiogenesis,Matrix biology,35,,73-81,2014,Elsevier
"Lamdan, Humberto; Gavilondo, Jorge V; Munoz, Yasmiana; Pupo, Amaury; Huerta, Vivian; Musacchio, Alexis; Pérez, Lincidio; Ayala, Marta; Rojas, Gertrudis; Balint, Robert F; ",Affinity maturation and fine functional mapping of an antibody fragment against a novel neutralizing epitope on human vascular endothelial growth factor,Molecular BioSystems,9,8,2097-2106,2013,Royal Society of Chemistry
"Cydzik, Marzena; Abdul‐Wahid, Aws; Park, Soyeon; Bourdeau, Annie; Bowden, Katherine; Prodeus, Aaron; Kollara, Alexandra; Brown, Theodore J; Ringuette, Maurice J; Gariépy, Jean; ","Slow binding kinetics of secreted protein, acidic, rich in cysteine‐VEGF interaction limit VEGF activation of VEGF receptor 2 and attenuate angiogenesis",The FASEB Journal,29,8,3493-3505,2015,Wiley Online Library
"Wang, Jinliang; Shi, Minglei; Xi, Yongyi; Gao, Lihua; Zhang, Guanyi; Shao, Yong; Chen, Huipeng; Hu, Xianwen; ",Recombinant human vascular endothelial growth factor receptor 1 effectively inhibits angiogenesis in vivo,Molecular medicine reports,11,5,3432-3438,2015,Spandidos Publications
"Deng, Lan; Wang, Lihua; Zhang, Jinzhao; Zhao, Le; Meng, Yun; Zheng, Jidai; Xu, Wei; Zhu, Zhenping; Huang, Haomin; ",The mechanism of action and biodistribution of a novel EGFR/VEGF bispecific fusion protein that exhibited superior antitumor activities,Heliyon,,,,2023,Elsevier
"Pesca, Mariasabina; ",Proteomic profiles of cultured cells stimulated with VEGFs dimers and search for natural compounds angiogenesis inhibitors,,,,,2013,Universita degli studi di Salerno
"Sullivan, Laura A; Carbon, Juliet G; Roland, Christina L; Toombs, Jason E; Nyquist-Andersen, Mari; Kavlie, Anita; Schlunegger, Kyle; Richardson, James A; Brekken, Rolf A; ","r84, a novel therapeutic antibody against mouse and human VEGF with potent anti-tumor activity and limited toxicity induction",PloS one,5,8,e12031,2010,"Public Library of Science San Francisco, USA"
"Lien, S; Lowman, HB; ",Therapeutic anti-VEGF antibodies,Therapeutic antibodies,,,131-150,2008,Springer
"Ebos, John ML; Bocci, Guido; Man, Shan; Thorpe, Philip E; Hicklin, Daniel J; Zhou, Danielle; Jia, Xiaohong; Kerbel, Robert S; ",A naturally occurring soluble form of vascular endothelial growth factor receptor 2 detected in mouse and human plasma,Molecular cancer research,2,6,315-326,2004,AACR
"Dai, J; Rabie, ABM; ",VEGF: an essential mediator of both angiogenesis and endochondral ossification,Journal of dental research,86,10,937-950,2007,SAGE Publications
"Li, Hong; Lei, Ning; Zhang, Ming; Li, Yue; Xiao, Haibo; Hao, Xiaofeng; ",Pharmacokinetics of a long-lasting anti-VEGF fusion protein in rabbit,Experimental eye research,97,1,154-159,2012,Elsevier
"Zhang, Juan; Li, Haixin; Chen, Wei; Cao, Peng; Wang, Min; ",Preparation of extracellular domain 3 of human VEGF receptor‐2 and the monitoring of its real‐time binding to VEGF by biosensors,Biotechnology progress,25,6,1703-1708,2009,Wiley Online Library
"Yamazaki, Yasuo; Takani, Koji; Atoda, Hideko; Morita, Takashi; ",Snake venom vascular endothelial growth factors (VEGFs) exhibit potent activity through their specific recognition of KDR (VEGF receptor 2),Journal of Biological Chemistry,278,52,51985-51988,2003,ASBMB
"Li, Bing; Ogasawara, Annie K; Yang, Renhui; Wei, Wei; He, Guo-Wei; Zioncheck, Thomas F; Bunting, Stuart; de Vos, Abraham M; Jin, Hongkui; ",KDR (VEGF receptor 2) is the major mediator for the hypotensive effect of VEGF,Hypertension,39,6,1095-1100,2002,Am Heart Assoc
"Zhu, Z; Hattori, K; Zhang, H; Jimenez, X; Ludwig, DL; Dias, S; Kussie, P; Koo, H; Kim, HJ; Lu, D; ",Inhibition of human leukemia in an animal model with human antibodies directed against vascular endothelial growth factor receptor 2. Correlation between antibody affinity and biological activity,Leukemia,17,3,604-611,2003,Nature Publishing Group
"Huang, Xianming; Gottstein, Claudia; Brekken, Rolf A; Thorpe, Philip E; ",Expression of soluble VEGF receptor 2 and characterization of its binding by surface plasmon resonance,Biochemical and biophysical research communications,252,3,643-648,1998,Elsevier
"Cunningham, Sonia A; Tran, Tuan M; Arrate, M Pia; Brock, Tommy A; ",Characterization of vascular endothelial cell growth factor interactions with the kinase insert domain-containing receptor tyrosine kinase: a real time kinetic study,Journal of Biological Chemistry,274,26,18421-18427,1999,ASBMB
"Yang, Seung-Pil; Bae, Dong-Goo; Kang, Hyo Jung; Gwag, Byoung Joo; Gho, Yong Song; Chae, Chi-Bom; ",Co-accumulation of vascular endothelial growth factor with β-amyloid in the brain of patients with Alzheimer’s disease,Neurobiology of aging,25,3,283-290,2004,Elsevier
"Rittler, Matthew Robert; ",Modeling of interactions between vascular endothelial growth factor family members and their receptors KDR and Flt-1,,,,,2008,Virginia Tech
"Yamazaki, Yasuo; Matsunaga, Yukiko; Tokunaga, Yuko; Obayashi, Shinya; Saito, Mai; Morita, Takashi; ",Snake venom Vascular Endothelial Growth Factors (VEGF-Fs) exclusively vary their structures and functions among species,Journal of Biological Chemistry,284,15,9885-9891,2009,ASBMB
"Stefano, James E; Bird, Julie; Kyazike, Josephine; Cheng, Anthony Wai-Ming; Boudanova, Ekaterina; Dwyer, Markryan; Hou, Lihui; Qiu, Huawei; Matthews, Gloria; O’Callaghan, Michael; ",High-affinity VEGF antagonists by oligomerization of a minimal sequence VEGF-binding domain,Bioconjugate Chemistry,23,12,2354-2364,2012,ACS Publications
"von Tiedemann, Birgit; Bilitewski, Ursula; ",Characterization of the vascular endothelial growth factor–receptor interaction and determination of the recombinant protein by an optical receptor sensor,Biosensors and Bioelectronics,17,11-12,983-991,2002,Elsevier
"Zhao, Wenjing; McCallum, Scott A; Xiao, Zhongping; Zhang, Fuming; Linhardt, Robert J; ",Binding affinities of vascular endothelial growth factor (VEGF) for heparin-derived oligosaccharides,Bioscience reports,32,1,71-81,2012,Portland Press Ltd.
"Lu, Dan; Shen, Juqun; Vil, Marie D; Zhang, Haifan; Jimenez, Xenia; Bohlen, Peter; Witte, Larry; Zhu, Zhenping; ",Tailoring in vitro selection for a picomolar affinity human antibody directed against vascular endothelial growth factor receptor 2 for enhanced neutralizing activity,Journal of Biological Chemistry,278,44,43496-43507,2003,ASBMB
"Schlaeppi, Jean-Marc; Siemeister, Gerhard; Weindel, Karin; Schnell, Christian; Wood, Jeanette; ","Characterization of a new potent, in vivo neutralizing monoclonal antibody to human vascular endothelial growth factor",Journal of cancer research and clinical oncology,125,,336-342,1999,Springer
"Liang, Wei-Ching; Wu, Xiumin; Peale, Franklin V; Lee, Chingwei V; Meng, Y Gloria; Gutierrez, Johnny; Fu, Ling; Malik, Ajay K; Gerber, Hans-Peter; Ferrara, Napoleone; ",Cross-species vascular endothelial growth factor (VEGF)-blocking antibodies completely inhibit the growth of human tumor xenografts and measure the contribution of stromal VEGF,Journal of Biological Chemistry,281,2,951-961,2006,ASBMB
"Lu, Dan; Jimenez, Xenia; Zhang, Haifan; Bohlen, Peter; Witte, Larry; Zhu, Zhenping; ",Fab-scFv fusion protein: an efficient approach to production of bispecific antibody fragments,Journal of immunological methods,267,2,213-226,2002,Elsevier
"Siafakas, Constantinos G; Anatolitou, Fani; Fusunyan, Robert D; Walker, W Allan; Sanderson, Ian R; ",Vascular endothelial growth factor (VEGF) is present in human breast milk and its receptor is present on intestinal epithelial cells,Pediatric research,45,5,652-657,1999,Nature Publishing Group
"Park, John E; Chen, Helen H; Winer, Jane; Houck, Keith A; Ferrara, Napoleone; ","Placenta growth factor. Potentiation of vascular endothelial growth factor bioactivity, in vitro and in vivo, and high affinity binding to Flt-1 but not to Flk-1/KDR.",Journal of Biological Chemistry,269,41,25646-25654,1994,ASBMB
"Terman, Bruce I; Khandke, Lakshmi; Dougher-Vermazan, Maureen; Maglione, Domenico; Lassam, Norman J; Gospodarowicz, Denis; Persico, M Graziella; Böhlen, Peter; Eisinger, Magdalena; ",VEGF receptor subtypes KDR and FLT1 show different sensitivities to heparin and placenta growth factor,Growth Factors,11,3,187-195,1994,Taylor & Francis
"Waltenberger, Johannes; Claesson-Welsh, Lena; Siegbahn, Agneta; Shibuya, Masabumi; Heldin, Carl-Henrik; ","Different signal transduction properties of KDR and Flt1, two receptors for vascular endothelial growth factor",Journal of Biological Chemistry,269,43,26988-26995,1994,Elsevier
"Ogawa, Sachiyo; Oku, Asuka; Sawano, Asako; Yamaguchi, Sachiko; Yazaki, Yoshio; Shibuya, Masabumi; ","A novel type of vascular endothelial growth factor, VEGF-E (NZ-7 VEGF), preferentially utilizes KDR/Flk-1 receptor and carries a potent mitotic activity without heparin-binding domain",Journal of Biological Chemistry,273,47,31273-31282,1998,ASBMB
"Dougher, Maureen; Terman, Bruce I; ",Autophosphorylation of KDR in the kinase domain is required for maximal VEGF-stimulated kinase activity and receptor internalization,Oncogene,18,8,1619-1627,1999,Nature Publishing Group
"Shen, Ben-Quan; Lee, David Y; Gerber, Hans-Peter; Keyt, Bruce A; Ferrara, Napoleone; Zioncheck, Thomas F; ",Homologous up-regulation of KDR/Flk-1 receptor expression by vascular endothelial growth factor in vitro,Journal of Biological Chemistry,273,45,29979-29985,1998,ASBMB
"Soker, Shay; Takashima, Seiji; Miao, Hua Quan; Neufeld, Gera; Klagsbrun, Michael; ",Neuropilin-1 is expressed by endothelial and tumor cells as an isoform-specific receptor for vascular endothelial growth factor,Cell,92,6,735-745,1998,Elsevier
"Otani, Atsushi; Takagi, Hitoshi; Suzuma, Kiyoshi; Honda, Yoshihito; ",Angiotensin II potentiates vascular endothelial growth factor–induced angiogenic activity in retinal microcapillary endothelial cells,Circulation research,82,5,619-628,1998,Am Heart Assoc
